                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.5276,                 1.1235,                 1.2423,                 1.6313,                 1.3553,                 1.2228,                0.75027,                 0.6059,                0.67657,                 0.3179,                 1.8414,                 1.4158,                 1.4364,                 1.8395,                 1.5878,                 1.4147,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.5249,                 1.0987,                 1.2406,                 1.6336,                 1.3403,                 1.2195,                 0.6663,                0.67728,                0.69671,                0.32004,                 1.8517,                 1.3298,                 1.4414,                 1.8385,                 1.4674,                 1.4136,             0.00033967,             0.00033967,             0.00033967
                     80,                  1.497,                 1.0908,                 1.2291,                 1.6025,                 1.3116,                 1.2127,                0.64983,                0.65743,                0.68909,                0.32605,                 1.8846,                 1.2923,                 1.4647,                 1.9039,                  1.411,                 1.4522,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.4973,                 1.0766,                 1.2331,                 1.6026,                 1.3058,                 1.2141,                0.72752,                0.63396,                0.67342,                0.32355,                 1.8942,                 1.3305,                 1.4815,                 1.9098,                 1.4811,                 1.4583,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.4929,                 1.0767,                 1.2274,                  1.605,                 1.3049,                 1.2113,                0.65729,                0.64037,                0.67347,                 0.3216,                 1.8752,                 1.3607,                 1.4404,                 1.9032,                 1.5393,                 1.4234,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.4937,                 1.0572,                 1.2271,                 1.6009,                 1.2801,                 1.2081,                0.68606,                0.65445,                0.67403,                0.31272,                 1.8978,                 1.3542,                 1.4435,                 1.9002,                 1.4957,                 1.4173,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.5136,                 1.0757,                 1.2282,                 1.6268,                 1.3062,                 1.2089,                0.69628,                0.61532,                0.62781,                0.30291,                 1.9218,                 1.4422,                 1.4619,                 1.9556,                 1.5841,                 1.4424,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.4733,                 1.0305,                 1.2123,                 1.5947,                  1.243,                 1.2025,                0.71227,                0.63459,                0.69733,                0.33488,                 1.8873,                 1.3632,                 1.4439,                 1.9138,                 1.5063,                 1.4485,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.4865,                 1.0553,                 1.2236,                 1.6029,                 1.2651,                 1.2123,                 0.7546,                0.58145,                0.68913,                0.32971,                 1.8995,                 1.3485,                 1.4492,                 1.9098,                 1.5193,                 1.4499,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.4797,                 1.0455,                 1.2222,                 1.5917,                 1.2538,                 1.2088,                0.70149,                0.64956,                0.69186,                0.32499,                 1.9067,                 1.3783,                  1.458,                 1.9043,                 1.5422,                 1.4354,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.4814,                 1.0455,                 1.2112,                 1.5916,                 1.2703,                 1.2003,                0.67916,                0.66071,                0.67004,                0.31482,                 1.9173,                 1.3538,                 1.4456,                 1.9464,                  1.532,                 1.4464,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.4684,                 1.0283,                 1.2131,                 1.5893,                 1.2402,                 1.2036,                0.65961,                0.66301,                0.68887,                0.32673,                 1.8899,                 1.3366,                 1.4569,                 1.8967,                 1.5075,                  1.415,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.4743,                 1.0349,                 1.2097,                  1.586,                 1.2566,                 1.1967,                0.68664,                0.63768,                 0.6597,                0.30393,                 1.9173,                 1.3599,                 1.4683,                 1.9285,                 1.5447,                 1.4452,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.4976,                 1.0106,                 1.2474,                 1.5994,                 1.1507,                 1.2371,                0.72028,                0.62641,                0.69228,                0.32734,                 1.8952,                 1.3381,                  1.461,                 1.8806,                 1.5047,                  1.419,             0.00016991,             0.00016991,             0.00016991
                     92,                  1.495,                0.99833,                 1.2467,                 1.5872,                 1.1412,                 1.2365,                   0.66,                0.64956,                0.67256,                0.31011,                 1.9243,                 1.3907,                 1.4783,                 1.8974,                 1.5863,                 1.4419,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.4754,                0.98864,                 1.2347,                  1.578,                 1.1281,                 1.2268,                0.72244,                0.64823,                0.68617,                0.31725,                 1.9281,                 1.3305,                  1.476,                 1.9613,                 1.4609,                 1.4789,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.4733,                0.96566,                 1.2322,                  1.577,                  1.101,                 1.2221,                0.70463,                0.66749,                0.68846,                0.32167,                 1.8964,                 1.3216,                 1.4515,                 1.9234,                 1.4849,                 1.4566,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.4588,                0.95423,                 1.2231,                 1.5602,                 1.0917,                 1.2138,                0.71256,                0.63152,                0.68336,                0.31574,                 1.9456,                 1.3589,                   1.49,                  1.946,                  1.542,                 1.4653,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.4576,                 0.9483,                 1.2304,                 1.5563,                 1.0713,                  1.225,                0.75155,                0.59294,                0.66253,                0.30389,                 1.9394,                 1.3865,                 1.4916,                 1.9467,                 1.5944,                 1.4974,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.4401,                0.92892,                 1.2087,                 1.5375,                  1.048,                 1.2008,                0.71604,                0.63092,                0.68382,                0.31505,                 1.9307,                 1.3784,                 1.4808,                 1.9504,                  1.547,                 1.4833,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.4419,                0.93626,                 1.2148,                 1.5322,                 1.0617,                 1.2061,                0.63021,                0.70081,                0.67713,                0.31426,                 1.9453,                 1.3773,                 1.4847,                 1.9436,                 1.6029,                 1.4667,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.4364,                0.92074,                 1.2105,                 1.5221,                 1.0423,                 1.2017,                0.69557,                0.65367,                0.68114,                0.31224,                 1.9641,                  1.379,                 1.5031,                 1.9663,                  1.564,                 1.4793,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                  1.435,                0.92453,                 1.2076,                 1.5237,                 1.0529,                 1.1987,                0.67822,                0.65877,                0.67556,                0.31672,                 1.9546,                 1.3793,                 1.5066,                 1.9323,                 1.5834,                 1.4564,             4.2584e-05,             4.2584e-05,             4.2584e-05
